PID,Lot Frontage,Lot Area,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,SalePrice,MS Zoning,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Kitchen Qual,Functional,Fireplace Qu,Garage Type,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Sale Type,Sale Condition
526301100,141.0,31770,6,1960,1960,112.0,639.0,441.0,1080.0,1656,0,1656,1.0,1,0,3,1,7,2,1960.0,2.0,528.0,210,62,0,215000,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,Plywood,Stone,TA,TA,CBlock,TA,Gd,Gd,BLQ,Unf,GasA,Fa,Y,SBrkr,TA,Typ,Gd,Attchd,Fin,TA,TA,P,WD ,Normal
526350040,80.0,11622,5,1961,1961,0.0,468.0,270.0,882.0,896,0,896,0.0,1,0,2,1,5,0,1961.0,1.0,730.0,140,0,0,105000,RH,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,Rec,LwQ,GasA,TA,Y,SBrkr,TA,Typ,None,Attchd,Unf,TA,TA,Y,WD ,Normal
526351010,81.0,14267,6,1958,1958,108.0,923.0,406.0,1329.0,1329,0,1329,0.0,1,1,3,1,6,0,1958.0,1.0,312.0,393,36,0,172000,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,None,Attchd,Unf,TA,TA,Y,WD ,Normal
526353030,93.0,11160,7,1968,1968,0.0,1065.0,1045.0,2110.0,2110,0,2110,1.0,2,1,3,1,8,2,1968.0,2.0,522.0,0,0,0,244000,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,None,Gd,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,TA,Attchd,Fin,TA,TA,Y,WD ,Normal
527105010,74.0,13830,5,1997,1998,0.0,791.0,137.0,928.0,928,701,1629,0.0,2,1,3,1,6,1,1997.0,2.0,482.0,212,34,0,189900,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,WD ,Normal
527105030,78.0,9978,6,1998,1998,20.0,602.0,324.0,926.0,926,678,1604,0.0,2,1,3,1,7,1,1998.0,2.0,470.0,360,36,0,195500,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,WD ,Normal
527127150,41.0,4920,8,2001,2001,0.0,616.0,722.0,1338.0,1338,0,1338,1.0,2,0,2,1,6,0,2001.0,2.0,582.0,0,0,170,213500,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,Fin,TA,TA,Y,WD ,Normal
527145080,43.0,5005,8,1992,1992,0.0,263.0,1017.0,1280.0,1280,0,1280,0.0,2,0,2,1,5,0,1992.0,2.0,506.0,0,82,0,191500,RL,Pave,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,PConc,Gd,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,WD ,Normal
527146030,39.0,5389,8,1995,1996,0.0,1180.0,415.0,1595.0,1616,0,1616,1.0,2,0,2,1,5,1,1995.0,2.0,608.0,237,152,0,236500,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,WD ,Normal
527162130,60.0,7500,7,1999,1999,0.0,0.0,994.0,994.0,1028,776,1804,0.0,2,1,3,1,7,1,1999.0,2.0,442.0,140,60,0,189000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,WD ,Normal
527163010,75.0,10000,6,1993,1994,0.0,0.0,763.0,763.0,763,892,1655,0.0,2,1,3,1,7,1,1993.0,2.0,440.0,157,84,0,175900,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,WD ,Normal
527165230,68.0,7980,6,1992,2007,0.0,935.0,233.0,1168.0,1187,0,1187,1.0,2,0,3,1,6,0,1992.0,2.0,420.0,483,21,0,185000,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,Gd,PConc,Gd,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,None,Attchd,Fin,TA,TA,Y,WD ,Normal
527166040,63.0,8402,6,1998,1998,0.0,0.0,789.0,789.0,789,676,1465,0.0,2,1,3,1,7,1,1998.0,2.0,393.0,0,75,0,180400,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Gd,Attchd,Fin,TA,TA,Y,WD ,Normal
527180040,85.0,10176,7,1990,1990,0.0,637.0,663.0,1300.0,1341,0,1341,1.0,1,1,2,1,5,1,1990.0,2.0,506.0,192,0,0,171500,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Po,Attchd,Unf,TA,TA,Y,WD ,Normal
527182190,68.0,6820,8,1985,1985,0.0,368.0,0.0,1488.0,1502,0,1502,1.0,1,1,1,1,4,0,1985.0,2.0,528.0,0,54,0,212000,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,PConc,Gd,TA,Av,GLQ,BLQ,GasA,TA,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,WD ,Normal
